Category,Document Name,Parties,Agreement Date,Effective Date,Renewal Term,Notice To Terminate Renewal,Expiration Date,Governing Law,Exclusivity,Post-Termination Services,Exact_Law,Discrepancy,detailed_law
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.pdf,JOINT CONTENT LICENSE AGREEMENT,"['WPT Enterprises, Inc.', 'Zynga US', '(""Zynga Ireland,"" and together with Zynga US and their respective Affiliates, ""Zynga"").', 'ZYNGA GAME IRELAND LIMITED', 'ZYNGA INC.', 'WPT']","['February 1, 2018']",02-01-2018,"['This Agreement shall automatically extend for an additional two (2) years on the same terms herein (""Renewal Term"") provided WPT receives payments greater than twelve million U.S. dollars ($12,000,000) within the Initial Term.']",[],02-01-2021,California,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.540603518486023}]"
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.pdf,                           CONTENT LICENSING AGREEMENT,"['Data Call Technologies, Inc.', 'Licensor', 'plan_b', 'PLAN_B MEDIA AG']",['03/24/06'],04-01-2006,['The Initial Term shall automatically be           extended  for  an additional period of half a year unless either party           provides  the  other party with written notification of termination of           the  letter  Agreement  at  least 60 days prior to end of such period.'],['The Initial Term shall automatically be           extended  for  an additional period of half a year unless either party           provides  the  other party with written notification of termination of           the  letter  Agreement  at  least 60 days prior to end of such period.'],04-01-2008,United States,[],"['Sell-off  period:  3  months  after  termination', 'After termination  of  this  contract,  there  shall  be  a  sell-off           period  (defined  in  APPENDIX 2) following the date of termination of           this  contract.']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5430638790130615}]"
GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,"['MobileVision Communications Ltd.', 'Distributor', 'Global Music International, Inc. d/b/a Independent Music Network', 'IMNTV']",['13/07/05'],7/13/05,"['IMNTV will extend the Agreement on the same terms and conditions for additional one-year terms, providing Distributor and IMNTV agree, predicated on satisfactory performance by both parties']",[],7/13/06,Florida,[],"['In the event that Distributor terminates this Agreement pursuant to either Section 7.2 or 7.3 above, Distributor will notify Subscribers that the Programming is no longer available.']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5450774431228638}]"
IdeanomicsInc_20151124_8-K_EX-10.2_9354744_EX-10.2_Content License Agreement.pdf,FORM OF CONTENT LICENSE AGREEMENT,"['YOU ON DEMAND HOLDINGS, INC.', 'Licensor', 'Licensee', 'Beijing Sun Seven Stars Culture Development Limited']","['___________, 2015']",[]/[]/2015,[],[],[]/[]/2035,New York,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5519770383834839}]"
MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement.pdf,                CONTENT LICENSE AGREEMENT,"['COMPANY', 'NCM', 'YGP, LLC,', '(COMPANY and CONTENT PROVIDER are hereinafter sometimes collectively referred to as the ""Parties"").', 'New China Media LLC', 'TWK Holdings, LLC', 'TWK', '(NCM, YGP and TWK shall be individually and collectively referred to as ""CONTENT PROVIDER"")', 'YGP', 'Digicorp, Inc.', 'a/k/a New China Media Limited']","['2nd day of June, 2008']",06-02-2008,"['This Agreement shall be automatically renewed for additional extended terms each of two (2) years duration unless either party notifies the other in writing of its intention not to renew the Agreement, such notification to be provided at least ninety (90) days prior to the expiration of the then in-effect term.']","['This Agreement shall be automatically renewed for additional extended terms each of two (2) years duration unless either party notifies the other in writing of its intention not to renew the Agreement, such notification to be provided at least ninety (90) days prior to the expiration of the then in-effect term.']",06-02-2010,California,"[""In this regard, it is specifically understood and agreed that CONTENT PROVIDER will not during the Term of this Agreement take any action to exploit or otherwise use, reproduce, distribute, transmit and publicly display any of the Content via the internet to Universities and College students in the People's Republic of China except for the benefit of the COMPANY.""]","[""COMPANY'S obligation for the payment of the Net Advertising Revenue shall survive expiration or termination of this Agreement and will continue for as long as COMPANY continues to use the Content.""]",Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5450774431228638}]"
PhoenixNewMediaLtd_20110421_F-1_EX-10.17_6958322_EX-10.17_Content License Agreement.pdf,Program Content License Agreement,"['Phoenix Satellite TV', 'Party B', 'Beijing Tianying Jiuzhou Network Technology Co., Ltd.', 'Party A', 'Phoenix Satellite Television Company Limited']","['November 24, 2009']",11/24/09,[],[],11/24/14,People's Republic of China,"[""Without Party A's consent, Party B may not enter into with any third party any agreement or cooperation which is identical with or similar to  this Agreement.""]",[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.530926525592804}]"
XinhuaSportsEntertainmentLtd_20070221_F-1_EX-99.4_645553_EX-99.4_Content License Agreement.pdf,                            CONTENT LICENSE AGREEMENT,"['XFN', 'XINHUA FINANCIAL NETWORK LIMITED', 'CHINA ECONOMIC INFORMATION SERVICE OF XINHUA NEWS AGENCY', 'CEIS']",['15th day of December 2001'],5/18/00,"['This Agreement may be renewed for an additional term of ten (10) years by      notice in writing given by XFN to CEIS at the expiry of the Term, for a      consideration to be mutually agreed.']",[],5/18/20,Hong Kong,"['CEIS hereby grants XFN and its      Affiliates an exclusive license (free of all third-party liens, claims and      encumbrances) to, and to permit others to, during the Term in the      Territory:<omitted>(a)  store or cache the Content in one or more host computers controlled           directly or indirectly by XFN or its Affiliates;\n\n     (b)  adapt, translate, modify, reproduce, copy, amend, revise or encode the           Content; and\n\n     (c)  publish, broadcast, distribute, re-distribute, transmit, display, make           available to the public or otherwise exploit the Content in any manner           by any device or in media now or hereafter known.', ""During the Term, CEIS agrees not to appoint any other licensees for the      distribution of the Content in the People's Republic of China.""]",[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5450774431228638}]"
WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,"['Emdeon Corporation', 'WebMD, Inc.', 'Emdeon', 'WebMD']","['October 1, 2005']",10-01-2005,[],[],8/31/06,New York,[],"['Upon any expiration or termination of this Agreement, Emdeon shall have a reasonable period of time to remove the Content from the Software']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5450774431228638}]"
ZogenixInc_20190509_10-Q_EX-10.2_11663313_EX-10.2_Distributor Agreement.pdf,DISTRIBUTORSHIP AGREEMENT,"['Zogenix', 'Distributor', 'Zogenix and Distributor may be referred to individually as a ""Party"" and collectively as the ""Parties"".', 'ZOGENIX, INC.', 'Nippon Shinyaku Company, Ltd.']","['March 18, 2019']",3/18/19,[],[],09-01-1945,New York,"['Subject to the terms and conditions of this Agreement, Zogenix hereby appoints Distributor, and Distributor accepts appointment, as the exclusive distributor (even as to Zogenix) of the Product in the Field in the Territory during the Term, and grants to Distributor the exclusive rights to maintain Regulatory Approval of (while Distributor is the MAH Party), package, promote, market, offer for sale, sell, import and distribute the Product in the Field in the Territory during the Term', ""During the Term, Zogenix shall retain and have the sole and exclusive right to supply or have supplied all of Distributors' and its Affiliates' and Sub-distributors' requirements of the Product for sale in the Field in the Territory."", 'Distributor hereby grants Zogenix an irrevocable, perpetual, royalty-free, fully paid-up, exclusive license with the right to grant sublicenses to use such Data solely generated and co-owned by Distributor outside of the Territory and a co-exclusive license in the Territory upon expiration or termination of the Agreement.', 'Distributor shall have the exclusive right to market, promote, sell, offer for sale, import, package and otherwise Commercialize the Product in the Field in the Territory, at its sole cost and expense, in accordance with Applicable Laws and the Commercialization Plan and subject to the terms and conditions of this Agreement.', ""Zogenix shall supply (or have supplied) to Distributor, in accordance with the terms set forth on Exhibit 2.3, and Distributor shall purchase exclusively from Zogenix, Distributor's and its Affiliates' and Sub- distributors' Unlabeled Drug Product requirements of the Product for sale by Distributor or its Affiliates or Sub-distributors in the Territory in the Field, subject to and under the provisions of Section 5.2 and the Supply Agreement."", 'Without limiting the foregoing, Distributor will have the exclusive right and responsibility in the Field in the Territory for the following:\n\n(i) designing the Commercialization strategy and tactics for the Product, subject to JSC approval of the Commercialization Plan;\n\n(ii) undertaking all promotional activities for the Product;<omitted>(iii) establishing and implementing post-marketing surveillance studies for the Product in the Territory as required or recommended by a Regulatory Authority;\n\n(iv) receiving, accepting and filling orders for the Product from customers;\n\n(v) warehousing and distributing the Product to customers;\n\n(vi) controlling invoicing, order processing and collection of accounts receivable for sales of the Product;\n\n(vii) recording sales of the Product in the Territory in its books of account for sales; and\n\n(viii) providing results of sales of the Product in the Territory for purposes of periodic safety reports and exposure estimates.']","['Unless this Agreement is terminated by Zogenix under Section 12.2(c), Distributor shall use Commercially Reasonable Efforts to cooperate with Zogenix and/or its designee to effect a smooth and orderly transition in the registration and Commercialization of the Product in the Field in the Territory during the applicable notice period under Section 12.2 and following the effective date of termination.', 'Unless this Agreement is terminated by Zogenix under Section 12.2(c), at the written request of Zogenix, Distributor shall assign to Zogenix any Product-specific Third Party agreements, to the furthest extent possible, provided that such assignment is permitted under the Product-specific agreement or is otherwise agreed by the applicable Third Party.', 'Unless this Agreement is terminated by Zogenix under Sections 12.2(f), (g)(i), (h)(ii), (j)(ii), or (j)(iii), or by Distributor under Sections 12.2(d), (g), or (l), or terminated automatically under Section 12.2(k), Distributor shall continue, to the extent that Distributor continues to have Product inventory, to fulfill orders received from customers for Product in the Territory until up to [***] after the date on which Zogenix notifies Distributor in writing that Zogenix has secured an alternative distributor for the Product in the Territory, but in no event for more for than [***] after the effective date of termination.', ""Unless this Agreement is terminated by Zogenix under Section 12.2(c), at Zogenix's option, which shall be exercised by written notice to Distributor, to the extent permitted under Applicable Laws, Distributor shall assign or cause to be assigned to Zogenix or its designee (or to the extent not so assignable, Distributor shall take all reasonable actions to make available to Zogenix or its designee the benefits of), at Zogenix's cost, all Regulatory Filings and Regulatory Approvals for the Product in the Field in the Territory."", 'In the event that Zogenix terminates this Agreement pursuant to Section 12.2(c) or Distributor terminates this Agreement pursuant to Section 12.2(d), or after the expiration of this Agreement in accordance with Section 12.1, Zogenix shall negotiate in good faith with Distributor a license agreement for Distributor to make, use and sell the Product in the Field in the Territory under the Zogenix Technology, Zogenix Trademarks and the Product Trademarks.', ""Within [***] after receipt of such cessation request, Distributor shall provide Zogenix an estimate of the quantity and shelf life of all Product remaining in Distributor's or its Affiliates' or Sub-distributors' inventory, and Zogenix shall have the right to purchase any such quantities of Product from Distributor at a price mutually agreed by the Parties.""]",Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.5344609022140503}]"
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement.pdf,INTELLECTUAL PROPERTY AGREEMENT,"['Armstrong Flooring, Inc.', 'Buyer', '""Licensing"" and together with Seller, ""Arizona"")', 'AHF Holding, Inc.', 'AFI Licensing LLC', 'Seller', 'formerly known as Tarzan HoldCo, Inc.)', 'Armstrong Hardwood Flooring Company', 'each of Arizona on the one hand and the Buyer Entities on the other hand, a ""Party"" and collectively, the ""Parties"").', '(the ""Company"" and together with Buyer the ""Buyer Entities""']","['December 31, 2018']",12/31/18,[],[],Perpetual,Delaware,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5445317625999451}]"
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1.pdf,WIRELESS CONTENT LICENSE AGREEMENT,"['Fox and Licensee are collectively referred to as the ""parties"" and each individually as a ""party.""', 'Sorrent, Inc.', 'TWENTIETH CENTURY FOX LICENSING & MERCHANDISING', 'Licensee', 'Fox']","['December 16, 2004,']",12/16/04,[],[],12/31/06,California,"['Under no circumstances shall Licensee enter into an exclusive distribution agreement with a CSP other than VGSL in the following territories (""VGSL Territories"") covered under the VGSL Agreement: (1) United Kingdom; (2) Ireland; (3) Germany; (4) Spain; (5) France; (6) Sweden; (7) Switzerland; (8) Portugal; (9) Netherlands; (10) Greece; (11) Italy; (12) Australia; (13) New Zealand; (14) Egypt; (15) Slovenia; (16) Belgium; (17) Austria; (18) Hungary; (19) Malta; (20) Croatia; (21) South Africa; and (22) Japan.', 'Fox has not granted and will not grant any exclusive distribution rights with respect to the Wireless Products to VGSL or any other party', ""Neither party may solicit or enter into any agreement with any third party regarding third-party promotional opportunities with respect to the Wireless Products without the other party's prior written consent; provided that the foregoing will not limit Licensee's rights to market and promote the Wireless Products directly and through (i) CSPs, subject to any Fox approval rights set forth elsewhere in this Agreement, or (ii) Fox's right to engage in third party promotions for the Properties involving wireless content otherwise sourced or created."", 'Fox grants to Licensee a limited, exclusive (except as otherwise may be provided in this Agreement), non-transferable (except as permitted in Paragraph 17(d)) right and license to use, make, have made (as set forth in Paragraph 1(a)(i) below), reproduce, modify, and create derivative works of<omitted>the PSM in each Property, solely for the purpose of developing the wireless applications specifically set forth for each of the Properties on Exhibits B through M attached hereto (""Wireless Products""), some of which Wireless Products are defined in the Glossary attached hereto as Exhibit N', 'Neither party will solicit or enter into any agreement with any third party regarding the bundling of the Wireless Products with any other property (including a Fox property) or with any other products and services including preloading, OEM and soft bundling, except as mutually agreed between the parties.', 'Furthermore, Fox grants to Licensee a limited, exclusive (except as may otherwise be provided in this Agreement), non-transferable (except as permitted in Paragraph 17(d)) right and license to make, have made, reproduce, modify, create derivative works of, advertise, promote, distribute, sell and license the Wireless Products, including any PSM included therein, solely (i) for use on mobile or cellular telephones (the ""Wireless Platform""); (ii) in the Territory (as defined in Paragraph 3), (iii) during the Term (as defined in Paragraph 4), (iv) for distribution by Licensee through the Distribution Channels (as defined in Paragraph 2(c)) granted herein; and (v) by means of periodic subscription fee, a per-download basis, or through a retail purchase']","[""In the event of termination or expiration of this Agreement or Licensee's loss of exclusive rights under this Agreement, Fox shall be free to create and exploit, or have a third party create or exploit, wireless products which may be similar to those developed and distributed by Licensee pursuant to this Agreement for the Properties."", 'Each party shall keep accurate and complete books and records as they relate hereto for the greater of three years from the Effective Date or two years from the termination or expiration of the Term.', 'Upon the expiration of the Sell Off Period, Licensee agrees to destroy all such remaining inventory and confirm same in writing to Fox (and require that any Licensed CSP do the same).', ""Any revenues, credits or other consideration received by Licensee for the Wireless Products during the Sell Off Period will be subject to Licensee's obligation to pay Fox Royalties pursuant to Paragraph 7 above."", 'Notwithstanding Paragraph 15(b), in the event of termination of this Agreement, Licensee shall have a period of ***** from the date of such termination (unless such termination occurs less than ***** prior to the expiration of this Agreement in which case the time period shall be shortened accordingly so as not to exceed the date of expiration) in which to sell-off existing inventory of Wireless Products already in the Distribution Channels (""Sell Off Period"").']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.5521459579467773}]"
PapaJohnsInternationalInc_20190617_8-K_EX-10.1_11707365_EX-10.1_Endorsement Agreement.pdf,ENDORSEMENT AGREEMENT,"[""Papa John's Marketing Fund, Inc"", ""Papa John's International, Inc."", 'ABG-Shaq, LLC', 'ABG', 'PJI', 'PJMF', 'PJMF and PJI are, individually and collectively, ""PAPA JOHN\'S""']","['March 15, 2019']",3/15/19,"[""The Agreement may be extended for one (1) year upon the parties' mutual agreement in writing, it being specifically understood the services to be performed by CELEBRITY (on behalf of ABG) and remuneration to ABG in connection with the same shall be negotiated in good faith.""]",[],3/15/22,Delaware,"[""Subject to the terms contained herein, PAPA JOHN'S and ABG agree and acknowledge that during the Term of this Agreement and for one (1) year thereafter, ABG shall be prohibited from granting any rights for CELEBRITY identical or similar to the rights granted to PAPA JOHN'S hereunder to any entity other than PAPA JOHN'S for the purpose of directly promoting, advertising, making an appearance on behalf of, or endorsing Competitive Products; provided, however, that in the event this Agreement is terminated pursuant to Section 7.B. of this Agreement, the prohibition referenced above shall be for a period of six (6) months, except that the prohibition shall referenced above shall not apply (or shall immediately cease to apply, as applicable) in the event of any one or more of the following: (i) the Agreement is terminated due to PAPA JOHN'S failure to pay to ABG any monies under this Agreement, as set forth herein, (ii) the Agreement is terminated due to PAPA JOHN'S failure to grant, issue, or cause to vest any of the RSUs (as hereinafter defined) under this Agreement, as set forth herein, (iii) PAPA JOHN'S failure to pay to ABG any monies under Section 7.D.a. or Section 7.D.b. of this Agreement, as set forth herein, or (iv) PAPA JOHN'S failure to grant, issue, or cause to vest any of the RSUs under Section 7.E.a. or Section 7.E.b. of this Agreement, as set forth herein.""]","['If this Agreement is terminated by ABG for any of the reasons provided in Section 7.B. above, then CELEBRITY shall be entitled to immediately vest in all of the RSUs for the eighteen (18) months following the effective date of termination (including, without limitation, any balance of unvested RSUs that were due to vest as of the effective date of termination, in addition to any and all of the RSUs that would have vested during the next eighteen (18) months but for the termination); provided, however, that in the event there is less than eighteen (18) months remaining in the Term as of the effective date of such termination, then any and all of the balance of the RSUs shall vest immediately as of the effective date of termination.', ""Upon expiration or termination of this Agreement by PAPA JOHN'S (but not in the event of termination by ABG), and subject to PAPA JOHN'S ongoing compliance with the terms and conditions of this Agreement, PAPA JOHN'S shall have the following rights to use the Celebrity Endorsement solely as follows: (i) for a period of six (6) months following the effective date of expiration or termination, PAPA JOHN'S shall have the right to continue to use, display and distribute copies of Materials which bear the Celebrity Endorsement and which were printed and published, or irrevocably booked for publication or display with a third party, prior to the effective date of expiration or termination; and (ii) PAPA JOHN'S shall have the right, without restriction, to the in-house, non-commercial use of any Materials.""]",Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5248122215270996}]"
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1.pdf,"  CONTENT LICENSE, MARKETING AND SALES AGREEMENT","['Playboy.com, Inc.', '""Client,"" which shall include  affiliates controlling, controlled by or under common control with Playboy.com, Inc.', 'EFS', 'eFashion Solutions, LLC']","['January 15, 2008']",1/15/08,"['This Agreement shall automatically renew for an additional period of three (3) years (such renewal  and each subsequent renewal shall be defined as a ""Renewal Term"") provided that EFS achieves Net Merchandise Sales of at  least ***** during the fourth year following launch of the first Website.']",[],2/28/13,Illinois,"[""Subject to Client's prior written approval in each case, EFS shall have the right to work  with Client's manufacturers for the production of Merchandise that will be designed and offered for sale exclusively via the  Playboy Commerce Business.""]","['Upon and after the termination of this Agreement (the ""Termination Date""):<omitted>(g) If so requested by Client in connection with a planned or potential continuation of the business, EFS shall  cooperate with Client and its affiliates in order to transfer any remaining operations to them or any other entity that Client may so  designate without interruption of the Playboy Commerce Business\' availability.', 'As of the Termination Date, EFS shall not process any new orders placed through the  Playboy Commerce Business. Notwithstanding the foregoing, EFS may fulfill any outstanding orders placed through the Playboy  Commerce Business prior to the Termination Date and may continue collection activities related thereto, which shall be subject to  Section 6 hereof.']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5004276633262634}]"
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1.pdf,NONEXCLUSIVE VALUE ADDED DISTRIBUTOR AGREEMENT,"['Cisco', 'ScanSource, Inc.', 'Distributor', 'Cisco Systems, Inc.']","['January 22, 2007']",1/22/07,"[""Without prejudice to either party's right to terminate this Agreement as set forth in sub\u200b sections 18.2 to 18.5 below, Cisco may, by written notice to Distributor, given at least thirty (30) days prior to the end of the then-current term of the Agreement, extend the term of the Agreement for the period set forth in such notice, up to a maximum of one (1) year beyond the then- current expiration date.""]",[],1/22/09,New York,"['Distributor will not purchase Products for resale to any Reseller from any person or entity other than Cisco, provided that Distributor may accept returned Product from Resellers if Distributor initially sold the Product to be returned to such Reseller. [*****]']","[""Except for a termination of this Agreement resulting from Distributor's breach of Section 9.0 (Proprietary Rights and Software Licensing) or Section 19.0(Confidential Information), upon termination or expiration of this Agreement, Distributor may continue to use, in accordance with the terms and conditions of this Agreement, Products shipped to it by Cisco prior to the date of termination or expiration."", ""In the event of termination by Cisco for convenience, termination by Distributor for Cisco's material breach, or expiration of this Agreement where Cisco has provided Distributor with written notice from an authorized representative of its intention not to renew the Agreement, Cisco agrees to repurchase all Product in Distributor's inventory within [*****] days following the effective date of termination or expiration."", ""Cisco agrees to repurchase all Product in Distributor's inventory within [*****] days following the effective date of termination or expiration."", 'Within [*****] days following the effective date of termination or expiration, Distributor shall return to Cisco all Product held in inventory as of the effective date of termination.']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.5093622207641602}]"
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1.pdf,MANUFACTURING AGREEMENT,"['Premier', 'PREMIER NUTRITION CORPORATION', '(each a ""Party"", collectively, the ""Parties"").', 'Heritage', 'Stremicks Heritage Foods, LLC']","['first day of July, 2017 (']",07-01-2017,[],[],12/31/22,California,[],"['In addition, Premier shall purchase all Products and ingredients, packaging and material Heritage has on hand and not previously billed to Premier at the time of the termination that are used solely for the production of the Products, if any exist.']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.5025582909584045}]"
SLINGERBAGINC_05_27_2020-EX-10.7-CONSULTING AGREEMENT.PDF,CONSULTING AGREEMENT,"['Slinger Bag Inc.', 'Aitan Zacharin', 'the ""Consultant""', 'the ""Company""']",['30th day of April'],04/30/[],[],[],4/30/[][],New York,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5419115424156189}]"
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT.PDF",CONSULTING AGREEMENT,"['Consultant', 'Company', 'Kiromic, Inc', 'Gianluca Rotino']","['July 20, 2018']",07-01-2018,[],[],perpetual,Texas,[],"[""Upon the termination of this Agreement, or upon Company's earlier requests, Consultant will deliver to Company all property relating to, and all tangible embodiments of, Inventions in Consultant's possession or control.""]",Commercial Code,Potential mismatch found,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5419115424156189}]"
SPHERE3DCORP_06_24_2020-EX-10.12-CONSULTING AGREEMENT.PDF,CONSULTING AGREEMENT,"['GROUPE PARAMEUS CORP', 'Sphere 3D Corp.', 'Consultant', 'Company']","['June 1st, 2020']",06-01-2020,['Without notification the contract will automatically extend for an additional month of service.'],['In the case that the company would not like to extend the terms of agreement for an additional month. The company must notify the consultant within 5 days of the conclusion of the 12 month term.'],06-01-2021,New York,[],"['Upon termination, Consultant agrees to perform the necessary information transfer required at the time.']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5419115424156189}]"
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT.PDF,CONSULTING AGREEMENT,"['Global Technologies, Ltd', 'Timothy Cabrera', '(individually, a ""Party""; collectively, the ""Parties"").', 'Consultant', 'Company']","['This Consulting Agreement (the ""Agreement"") is made and entered into as of this 2nd day of January 2020,']",01-02-2020,[],[],01-02-2021,Florida,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5419115424156189}]"
"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT.PDF",CONSULTING AGREEMENT,"['Medalist Diversified REIT, Inc.', 'Gunston Consulting, LLC', 'REIT', 'collectively the ""Parties.""', 'CONSULTANT', 'Company']",['1st day of March 2020'],03-01-2020,['Term: twelve (12) months from the date of the Agreement which term shall automatically renew for an additional twelve (12) months on such date if the Agreement is not otherwise terminated according to Section 8 of the Agreement.'],[],03-01-2021,Virginia,[],[],Commercial Code,Potential mismatch found,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5419115424156189}]"
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.PDF",CONSULTING AGREEMENT,"['IREYA B.V', 'Consultant', 'Aduro Biotech, Inc.', 'Aduro']","['June 1, 2020']",07-01-2020,[],[],12/31/20,California,[],[],Commercial Code,Potential mismatch found,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5419115424156189}]"
"CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT.PDF",CONSULTING AGREEMENT,"['INTERMARK CAPITAL CORP.', 'CORAL GOLD RESOURCES LTD.', 'Company', 'Consultant']","['1st day of February, 2020']",02-01-2020,[],[],31-01-2025,"British Columbia, Canada",[],"['On any termination of this Agreement under Section 5.l (a), (b), or (c) all outstanding stock options granted to the Consultant shall be exercisable in accordance with the terms of the option agreements covering such grants']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5419115424156189}]"
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1).PDF",CONSULTING AGREEMENT,"['IREYA B.V', 'Consultant', 'Aduro Biotech, Inc.', 'Aduro']","['June 1, 2020']",07-01-2020,[],[],12/31/20,California,"['During the term of this Agreement, Consultant will not, directly or indirectly (whether for compensation or without compensation) engage in or provide consulting services, or enter into any agreement either written or oral, that would present a material conflict with any of the provisions of this Agreement, or would preclude Consultant from complying with the terms and conditions hereof.']",[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5419115424156189}]"
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT.PDF,WEB SITE HOSTING AGREEMENT,"['the Customer', 'Centrack International', 'I-ON INTERACTIVE, INC.', 'i-on interactive', 'CENTRACK INTERNATIONAL, INC.', 'i-on']","['6th day of April, 1999']",04-01-1999,"['This Agreement shall automatically be renewed for one (1) or more one (1) month periods unless either the Customer or i-on gives notice to the other party of its intention not to renew the<omitted>Agreement, which notice must be given not less than fifteen (15) days before the end of the respective initial or renewal term.']","['This Agreement shall automatically be renewed for one (1) or more one (1) month periods unless either the Customer or i-on gives notice to the other party of its intention not to renew the<omitted>Agreement, which notice must be given not less than fifteen (15) days before the end of the respective initial or renewal term.']",10-01-1999,Florida,[],[],Commercial Code,Potential mismatch found,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5509018898010254}]"
DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT.PDF,Online Hosting Agreement,"['Tadeo E-Commerce Corp.', 'Diplomat Direct Marketing Corporation', 'Diplomat', 'Tadeo']","['1st day of June, 1999']",06-01-1999,"['Diplomat or Tadeo, if such party is not in default of the terms of this Agreement, may extend the term of this Agreement for an additional one year (""Additional Period""), provided the extending party gives the other party at least sixty (60) days advance written notice before the end of the Period.']",[],06-01-2000,New York,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5453988909721375}]"
"XACCT Technologies, Inc.SUPPORT AND MAINTENANCE AGREEMENT.PDF",Support and Maintenance Agreement,"['_______________________________', 'XACCT', 'Licensee', 'XACCT Technologies, Inc.']",['the ____ day of _______________2000'],[]/[]/2000,['The Agreement will be automatically          renewed for additional one (1) year terms (subject to applicable fee          adjustments) unless thirty (30) days prior to the anniversary of the          Effective Date Licensee gives written notice to XACCT of its intention          not to renew.'],['The Agreement will be automatically          renewed for additional one (1) year terms (subject to applicable fee          adjustments) unless thirty (30) days prior to the anniversary of the          Effective Date Licensee gives written notice to XACCT of its intention          not to renew.'],[]/[]/2001,California,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.5651019215583801}]"
WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement.PDF,Yield Maintenance Agreement,"['Wells Fargo Bank', 'on behalf of Wells Fargo Mortgage Backed Securities 2006-6 Trust', 'Counterparty', 'UBS AG', 'Wells Fargo Mortgage Backed Securities 2006-6 Trust']",['27 April 2006'],04-01-2006,[],[],04-01-2009,New York,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.5115840435028076}]"
